number of bedrooms,number of bathrooms,living area,lot area,number of floors,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Postal Code,Lattitude,Longitude,living_area_renov,Price
3,2.25,1940,5980,1,7,1520,420,1987,122012,52.7776,-114.265,1910,580000
4,1.75,2790,17476,1,7,1450,1340,1956,122031,52.6856,-114.559,2790,568000
4,2.25,1950,9800,1,8,1330,620,1968,122010,52.896,-114.368,2170,560000
3,2.25,1820,9670,2,8,1820,0,1984,122005,52.8682,-114.3,2160,557500
3,3.5,2490,3582,2,8,1720,770,2005,122012,52.7638,-114.257,1445,550000
3,1.75,1070,8030,1,7,1070,0,1966,122005,52.9,-114.345,1540,542000
2,2.5,1785,779,2,7,1595,190,1975,122048,52.8259,-114.388,1780,530000
5,2.5,2820,9375,1,8,1550,1270,1968,122027,52.8007,-114.318,2820,527700
2,1.5,1920,3408,1,7,960,960,1912,122044,52.8418,-114.489,1130,517000
3,2.5,1810,4592,2,8,1810,0,1992,122011,52.8064,-114.186,1810,513000
4,2.25,1900,7200,1,8,1370,530,1977,122052,52.7333,-114.562,2030,485000
2,1,1060,3040,1,7,860,200,1924,122028,52.9025,-114.519,1470,480000
3,1,1340,13750,1,7,1340,0,1955,122027,52.8071,-114.341,1430,479000
4,2.75,2530,14178,2,8,2530,0,1997,122055,52.967,-114.145,2530,469950
3,1.5,1830,9848,1,7,1830,0,1962,122053,52.769,-114.37,1830,468000
4,2.5,2620,8331,2,9,2620,0,1991,122046,52.6657,-114.349,2760,460000
4,2.5,1910,10300,1,8,1910,0,1921,122050,52.9881,-114.549,1910,458400
4,3.5,3440,6000,2,8,3440,0,2002,122043,52.6377,-114.521,1660,455000
4,2.5,2680,5539,2,8,2680,0,2013,122025,52.7059,-113.924,2680,449990
3,2,1860,217800,2,8,1860,0,1998,122015,52.7457,-114.297,2500,440000
4,2.25,2570,9503,2,8,2570,0,1980,122017,52.994,-114.357,1950,439000
2,2,1270,1372,3,8,1270,0,2000,122006,52.9076,-114.508,1610,438000
4,2.75,2230,9640,1,8,1320,910,1998,122022,52.9569,-114.515,2100,435000
4,2.5,2150,3143,2,7,2150,0,2010,122015,52.7348,-114.344,2640,435000
3,2,1550,6039,1,7,830,720,1942,122064,52.7736,-114.568,1330,430000
2,1,880,4000,1,7,880,0,1940,122007,52.9148,-114.576,1150,427550
4,1.75,1920,7700,2,7,1920,0,1970,122053,52.7681,-114.367,1310,415000
3,1.75,1880,5752,1,7,940,940,1945,122064,52.7654,-114.568,1110,412000
4,2.25,2060,7283,1,8,1220,840,1963,122014,52.9735,-114.507,1500,410000
4,2.5,2560,4020,2,9,2560,0,2006,122024,52.5833,-114.217,3010,410000
3,2,1320,6000,1.5,7,1320,0,1920,122054,52.8052,-114.494,1620,410000
3,1.5,1010,7683,1.5,7,1010,0,1953,122022,52.95,-114.508,1550,405000
4,1.75,1360,4840,1.5,7,1360,0,1928,122064,52.786,-114.566,1320,399500
3,1.75,1180,16552,1,7,1180,0,1967,122021,52.9726,-114.306,2780,390000
3,2.25,2090,15000,1,7,2090,0,1961,122025,52.7185,-113.973,1690,383000
4,2.5,1984,32400,1,8,1564,420,1962,122043,52.59,-114.508,1390,380000
3,2.5,2860,43821,2,9,2860,0,1990,122023,52.5463,-114.332,2370,378500
3,1.75,1660,9673,1,7,1130,530,1976,122021,52.9928,-114.352,1260,375000
3,1,1650,6400,1,7,980,670,1954,122034,52.75,-114.555,1230,371500
3,1.75,1570,16817,2,7,1570,0,1982,122025,52.7016,-113.946,1600,370000
4,1.75,2100,11942,1,7,1030,1070,1964,122034,52.78,-114.546,1170,368000
5,3,1810,3000,2,7,1810,0,1998,122051,52.7922,-114.481,1670,362000
2,1.75,1210,1032,2,8,1210,0,2014,122011,52.7822,-114.189,1210,357562
4,2.75,3000,5470,2,8,3000,0,2005,122024,52.5913,-114.228,2420,355000
3,2.25,2120,13090,1,8,2120,0,1997,122072,52.526,-114.409,1400,340000
3,2.25,2760,10160,1,8,2760,0,1969,122046,52.6804,-114.34,2760,336000
4,2.5,2530,8169,2,8,2530,0,1993,122040,52.4934,-114.502,2220,336000
3,2.5,2538,4600,2,8,2538,0,2013,122023,52.4884,-114.386,2570,335606
4,2.5,2250,3916,2,8,2250,0,2014,122040,52.5713,-114.37,2156,333490
3,2.25,2120,14915,1,9,1720,400,1979,122039,52.5824,-114.475,2320,332000
3,2.25,2220,4060,1,7,1330,890,1993,122051,52.7488,-114.455,1930,330000
3,1,1060,7920,1,7,1060,0,1968,122034,52.7949,-114.548,1060,326500
2,1,800,7260,1,7,800,0,1953,122064,52.7659,-114.557,1010,325000
2,1,810,4080,1,6,810,0,1941,122064,52.7637,-114.569,1400,325000
3,3.25,1450,1387,2,8,1180,270,2013,122034,52.7856,-114.552,1450,320000
2,1,1080,2674,1,6,720,360,1919,122059,52.7895,-114.507,1250,315000
4,2.5,1920,8562,2,7,1920,0,1994,122068,52.4232,-114.198,1820,308950
4,2.5,2200,8065,2,7,2200,0,1998,122067,52.6342,-114.403,2641,300000
3,1,1150,7314,1,7,1150,0,1960,122029,52.8546,-114.303,1350,300000
3,2.25,1910,3481,2,8,1910,0,2009,122042,52.6593,-114.378,1714,293000
3,1.5,1520,7123,1,7,1520,0,1959,122053,52.7291,-114.366,1450,292600
2,1,770,8149,1,6,770,0,1948,122014,52.9758,-114.488,1160,277000
3,1,1400,8100,1.5,6,1400,0,1944,122022,52.9424,-114.479,1420,267000
3,1.75,1550,9720,1,7,1050,500,1976,122062,52.5733,-114.227,1550,255000
3,1.75,1140,10400,1,7,1140,0,1983,122040,52.4898,-114.501,1280,250000
2,1.5,1090,2686,2,7,1090,0,1982,122033,52.947,-114.38,1160,249000
4,2.25,2600,6390,1,8,1390,1210,1978,122018,52.5474,-114.556,2110,245000
3,2.5,1600,2788,2,7,1600,0,1992,122067,52.6334,-114.377,1720,245000
5,2.5,2340,5000,1,8,1670,670,1967,122040,52.5607,-114.514,2080,235500
2,1,1020,7920,1,6,1020,0,1939,122059,52.7858,-114.5,1530,235000
3,1.5,1460,15000,1,7,1460,0,1966,122039,52.5482,-114.461,1510,232000
3,1.75,1200,9085,1,7,1200,0,1968,122018,52.5095,-114.543,1200,228950
3,2,960,9380,1,6,960,0,1949,122052,52.7152,-114.533,1460,210000
3,1,1070,8179,1,6,1070,0,1949,122052,52.7315,-114.539,1050,210000
3,1,1180,8240,1,7,1180,0,1967,122040,52.5625,-114.511,1180,205000
3,1,1320,5000,1.5,7,1320,0,1912,122009,52.8011,-114.576,1320,201500
3,1,910,10575,1,7,910,0,1968,122040,52.5041,-114.491,1470,190000
3,1,1040,8892,1,6,800,240,1958,122018,52.5573,-114.539,820,183500
1,1,850,8050,1,6,850,0,1906,122051,52.7727,-114.478,1590,165000
3,1,1350,8700,1.5,6,1350,0,1942,122070,52.6797,-114.479,1300,160000
3,1,1400,7360,1,7,1400,0,1968,122023,52.5423,-114.376,1600,148226
2,1,630,4200,1,6,630,0,1930,122034,52.7629,-114.538,970,148000
1,2,1150,9812,1,7,1150,0,1962,122039,52.5251,-114.474,1200,115000
5,3,4290,20445,2,11,4290,0,1985,122071,52.8517,-114.429,3620,2680000
5,4.75,5780,17004,2,11,4260,1520,2006,122057,52.8102,-114.402,3460,2320000
5,5.25,4830,18707,2,9,3930,900,1952,122057,52.8158,-114.437,2880,1680000
6,4.5,4230,6420,2,8,2360,1870,1916,122003,52.8601,-114.559,3450,1470000
4,3.5,3550,11000,1,11,2260,1290,1999,122027,52.7806,-114.324,4100,1360000
4,2.5,2920,5500,1,10,2030,890,1957,122032,52.8706,-114.602,3790,1250000
5,3.5,5430,10327,2,10,4010,1420,2007,122027,52.7776,-114.306,4340,1240000
4,3.75,4260,9800,2,10,4260,0,2008,122010,52.9039,-114.362,1950,1070000
4,3.5,4440,10660,2,11,4440,0,2003,122015,52.7594,-114.327,4390,1040000
5,4.5,4030,13474,2,11,4030,0,2000,122020,52.8112,-114.185,3860,989000
4,2.5,2230,4372,2,8,1540,690,1935,122028,52.8998,-114.524,2020,900000
3,2,2783,11177,2,8,2783,0,1910,122064,52.768,-114.57,1730,840000
4,1.75,2000,3988,1,7,1000,1000,1958,122009,52.8225,-114.581,1690,810000
4,2.25,3300,8365,3,9,3300,0,2014,122064,52.7663,-114.567,1290,760000
4,1.75,2100,4750,1,7,1340,760,1975,122028,52.8995,-114.523,1700,759000
4,2.5,3020,7465,2,9,3020,0,2004,122020,52.8282,-114.17,3100,750000
4,2.75,2910,18700,1,9,2210,700,1957,122050,52.9857,-114.558,2420,749950
3,2.75,2820,5348,2,9,2820,0,2008,122005,52.9373,-114.308,3140,749000
4,2.75,2700,6000,2,8,2100,600,1910,122009,52.816,-114.573,2050,749000
2,2.5,2150,5760,1,8,2150,0,2010,122045,52.9394,-114.208,1640,741500
4,2.5,3360,15091,2,9,3360,0,1997,122005,52.8949,-114.325,1930,740000
3,1.75,2320,10900,2,7,2320,0,1935,122006,52.9177,-114.473,1610,737500
2,2.25,2290,9772,1,8,2290,0,2007,122045,52.9499,-114.215,1810,737000
4,3.25,4280,47179,2,10,3050,1230,2002,122023,52.5317,-114.317,2820,734950
4,2.5,3350,35298,2,9,3350,0,1985,122045,52.8806,-114.226,2620,720500
3,1,1410,7200,2,6,1410,0,1901,122054,52.8224,-114.492,1640,700000
4,3.5,3650,38546,2,9,2550,1100,1996,122025,52.7076,-113.92,2860,696000
4,2.75,3710,7984,2,9,3710,0,1999,122008,52.7652,-114.058,2950,692500
3,2,1780,5720,1,7,980,800,1925,122028,52.9094,-114.541,1620,680000
4,2.75,2100,4480,1.5,7,1780,320,1928,122004,52.8991,-114.484,2050,679000
3,1,1240,3500,1,7,1240,0,1927,122028,52.9135,-114.537,1650,660000
4,2.5,2510,4543,2,8,2510,0,2002,122020,52.8262,-114.229,2550,660000
4,2.75,3510,9400,2,9,3510,0,2014,122015,52.7127,-114.321,3550,659950
4,2.5,3080,35430,2,9,3080,0,1997,122045,52.8625,-114.16,2640,635000
3,1.75,1710,8767,1,8,1710,0,1986,122010,52.9245,-114.378,2050,630000
4,1,1600,5500,1.5,7,1600,0,1946,122007,52.9283,-114.583,1900,625000
3,1.75,3160,76230,1,8,2160,1000,1978,122039,52.504,-114.477,1990,625000
3,2,2250,14274,1,8,1500,750,1964,122057,52.8062,-114.407,2820,624800
3,2.5,2630,5827,2,8,2630,0,2001,122045,52.918,-114.228,2330,610000
3,3.25,1830,1804,3,8,1830,0,2014,122007,52.9245,-114.567,1830,599950
7,2.5,2580,5750,1,7,1880,700,1901,122044,52.8325,-114.484,2280,599000
4,3.25,3730,4560,2,9,2760,970,2015,122028,52.9025,-114.52,1800,595000
4,2.5,2720,10006,2,9,2720,0,1989,122019,52.8595,-114.232,2720,594950
3,2.5,2650,9380,1,8,1680,970,1975,122014,53.0056,-114.463,2310,590000
3,2.5,2600,5100,2,8,2600,0,1998,122053,52.7475,-114.395,2270,583000
3,1.75,1850,5100,1,7,1020,830,1909,122004,52.8905,-114.516,1850,580000
6,3.75,4000,6015,2,10,3080,920,2004,122046,52.683,-114.308,3180,570000
3,3.25,2220,8227,1.5,8,1770,450,1929,122059,52.7965,-114.506,1750,569000
3,2.5,2500,7394,2,9,2500,0,1990,122021,52.9741,-114.363,2790,565000
4,2.5,2570,5250,2,8,2570,0,1990,122011,52.8063,-114.19,2260,561000
3,2.5,1960,6058,2,8,1960,0,2002,122045,52.8619,-114.197,2480,560000
2,1,1010,9219,1,7,1010,0,1960,122010,52.9186,-114.392,1610,560000
3,2,1970,4166,2,8,1270,700,1929,122064,52.8017,-114.565,2390,550000
4,1.75,2150,9000,1,7,1110,1040,1966,122005,52.9112,-114.303,2040,550000
4,1,1440,3600,1.5,7,1440,0,1924,122009,52.7994,-114.575,1010,550000
3,2.5,2760,17377,2,9,2760,0,2002,122053,52.7229,-114.378,1940,545000
3,2.5,3010,7014,2,8,3010,0,2009,122015,52.7249,-114.339,3030,538000
3,2.5,1790,3078,2,8,1790,0,2010,122012,52.7938,-114.284,1890,530000
4,2.75,2910,6308,1,8,1640,1270,1985,122017,52.9652,-114.391,1970,525000
4,1.75,1710,10440,1,7,1710,0,1955,122027,52.8056,-114.348,1480,525000
4,2.5,3670,9958,2,10,3670,0,2005,122046,52.6917,-114.349,3300,525000
3,1.75,2140,40098,1,8,1490,650,1950,122046,52.6596,-114.301,2220,507000
2,1.75,1350,4614,1,8,1350,0,2008,122045,52.9391,-114.205,1680,498800
3,2,2660,192099,1,9,2660,0,1964,122068,52.4398,-114.206,2570,495000
4,2.5,2540,5001,2,9,2540,0,2005,122059,52.7723,-114.492,2360,487000
4,2.5,3560,12047,2,10,3560,0,1988,122018,52.5319,-114.531,3420,486000
5,2.75,2550,7725,1,8,1390,1160,1967,122053,52.7688,-114.361,2450,480000
4,2.25,2380,17199,2,8,1530,850,1979,122058,52.9968,-114.46,2280,470000
4,2.5,2100,8400,1,7,1240,860,1976,122021,52.965,-114.36,1980,468000
4,2.5,1980,6660,2,7,1980,0,1974,122033,52.9458,-114.357,1980,463000
5,2.5,2850,209523,1,7,1930,920,1925,122046,52.6239,-114.279,2220,450000
3,2.5,1460,7573,2,8,1460,0,1983,122030,52.8312,-114.331,1910,450000
3,2.25,1920,8223,2,7,1920,0,1989,122017,52.965,-114.391,1940,443000
3,1.5,1270,1413,3,8,1270,0,2007,122006,52.9289,-114.507,1270,440000
4,2.5,2550,5200,2,7,2550,0,2009,122015,52.7219,-114.343,2550,435000
2,1,1320,8830,1,7,1020,300,1939,122032,52.8733,-114.594,1620,425000
3,1.75,1510,6360,1,7,1510,0,1954,122038,52.9621,-114.543,1480,420000
4,1.5,1840,11367,1.5,7,1840,0,1950,122050,52.9956,-114.548,1690,415000
4,3.5,3360,9767,2,9,2450,910,1990,122018,52.5347,-114.537,2580,412000
3,1.75,1660,6250,1,7,830,830,1980,122009,52.8159,-114.575,1660,410000
5,3.25,3320,11340,2,8,2480,840,1999,122035,52.6204,-114.344,2330,409124
3,2,1760,6875,1,8,1760,0,1967,122021,52.97,-114.283,1670,400000
5,2.75,1970,5400,1,7,1320,650,1986,122054,52.8168,-114.498,1280,399950
2,1,930,6380,1,7,930,0,1940,122006,52.9215,-114.511,1180,395000
4,2.75,1970,37026,1,8,1970,0,1961,122069,52.6675,-114.636,1970,395000
2,1,780,3910,1,6,780,0,1918,122064,52.796,-114.57,1500,380000
3,2.5,1530,2913,2,7,1530,0,1986,122010,52.9239,-114.374,1370,379000
3,2.25,1390,1484,3,8,1390,0,2007,122028,52.9212,-114.533,1250,374950
3,1.5,1550,4980,1,7,1080,470,1978,122038,52.9335,-114.53,940,359000
3,2.5,1590,3411,2,7,1590,0,2000,122008,52.7603,-114.068,1590,356000
3,1,1600,7324,1,7,1600,0,1958,122053,52.7354,-114.38,1430,340000
3,1,1370,6780,2,6,1370,0,1930,122022,52.9456,-114.481,1450,335500
1,1,730,1942,1,7,730,0,2008,122054,52.8239,-114.489,1020,321500
3,1.5,1460,9908,1,7,1460,0,1952,122060,52.6575,-114.521,1420,310000
3,2.25,1980,8755,1,7,1300,680,1963,122043,52.6222,-114.511,2030,309000
3,1,1450,7200,1,7,1010,440,1969,122033,52.9611,-114.389,1500,306000
3,1.5,1800,12196,1,7,1800,0,1966,122018,52.563,-114.535,1490,305000
4,1.75,1820,5015,1,6,1190,630,1926,122059,52.7869,-114.5,1530,300000
3,2.5,1460,3044,2,7,1460,0,2000,122059,52.774,-114.486,1490,299880
2,1,800,6500,1,6,800,0,1953,122038,52.9921,-114.548,1220,295000
3,1.5,1950,15954,1,8,1950,0,1959,122040,52.566,-114.509,1940,290000
5,1.5,1730,9230,1,7,1010,720,1962,122046,52.6946,-114.374,1730,287000
4,1.75,1880,8800,1,7,1130,750,1960,122056,52.7437,-114.523,1340,284000
3,1.5,1500,10018,1,7,1500,0,1957,122046,52.698,-114.353,1500,284000
4,2,2030,8426,2,7,2030,0,1944,122056,52.7106,-114.477,1190,275000
3,1,1200,7800,1,7,1200,0,1954,122064,52.7496,-114.561,1230,275000
4,2.5,1660,9253,1,7,1660,0,1978,122043,52.6061,-114.51,1060,270000
4,1.75,1120,8250,1,7,1120,0,1966,122046,52.6855,-114.367,1330,252000
3,1,990,8062,1,7,990,0,1960,122043,52.6451,-114.524,1420,250000
3,2.5,1610,7223,2,7,1610,0,1994,122065,52.5961,-114.363,1610,245000
2,1.75,1460,7926,1,7,1460,0,1987,122035,52.5965,-114.282,1680,237950
3,1.5,1940,9887,1,7,1140,800,1969,122040,52.5589,-114.517,1410,232500
4,2.25,2010,7688,1,8,1170,840,1979,122018,52.5386,-114.586,1990,229000
3,1,990,4440,1,6,990,0,1943,122034,52.752,-114.544,990,226550
4,1.5,1860,5040,1.5,8,1860,0,1920,122068,52.4377,-114.183,1680,215000
3,1.75,1770,29004,1,8,1770,0,1959,122018,52.5504,-114.554,2300,215000
3,1,1200,7280,1,7,1200,0,1967,122066,52.6024,-114.467,1200,215000
2,1,840,11600,1,6,840,0,1952,122056,52.722,-114.492,1610,187000
4,1,1600,10183,1,6,1600,0,1966,122072,52.507,-114.401,1410,154950
3,0.75,490,38500,1.5,5,490,0,1959,122041,52.9412,-113.505,800,150000
3,1,960,27442,1,6,960,0,1970,122046,52.6976,-114.324,1100,137124
6,4.5,4800,9097,2,10,3580,1220,2007,122047,52.8559,-114.481,2180,1980000
4,3,4460,6833,2,10,3140,1320,1955,122047,52.8642,-114.479,3130,1910000
4,2.75,5470,18200,2,11,3730,1740,1992,122051,52.7616,-114.453,3620,1610000
5,4.25,6070,171626,2,12,6070,0,1999,122036,52.8254,-114.14,4680,1550000
6,4.25,5720,10213,2,10,4170,1550,2004,122027,52.7764,-114.306,4300,1330000
3,3,3460,5353,2,10,2850,610,2007,122009,52.8158,-114.583,2460,1250000
4,3.5,1800,6400,2,8,1800,0,1984,122047,52.855,-114.49,1700,958000
6,2.5,2640,3680,2,8,1760,880,1922,122064,52.8071,-114.57,1960,880000
4,2.5,3360,22111,2,10,3360,0,1994,122020,52.8251,-114.207,3150,879000
5,3,2960,15152,2,9,2960,0,2004,122010,52.8989,-114.369,1850,875000
5,2.25,3480,9200,2,8,3480,0,1979,122027,52.7885,-114.343,3130,860000
5,2,2310,13430,1.5,8,2310,0,1966,122048,52.8695,-114.393,2810,850000
5,3.25,4230,10260,2,10,3860,370,1996,122012,52.7803,-114.271,2980,847700
4,3.5,3840,85728,2,11,3840,0,1998,122041,52.845,-114.144,2430,840000
3,2.75,2220,4000,2,8,1700,520,1914,122044,52.847,-114.481,1800,800000
3,2.5,1370,1911,2,9,1370,0,1907,122061,52.8675,-114.544,1630,797000
6,2.75,2980,175421,1.5,7,2480,500,1916,122028,52.8984,-114.521,1470,775000
5,2.5,3000,7912,1,9,1610,1390,2007,122010,52.9065,-114.365,2700,770000
4,1.5,2130,5000,2,8,2130,0,1920,122054,52.8128,-114.481,2560,749000
3,1.5,1830,4000,1,7,1350,480,1910,122003,52.8753,-114.561,1570,740000
3,2.5,2820,8159,2,9,2820,0,2004,122011,52.7827,-114.182,2910,735000
2,1.75,1950,2719,1,7,1010,940,1919,122028,52.8813,-114.536,1360,725000
3,1.75,1690,8489,1,7,1690,0,1959,122048,52.8379,-114.382,1850,725000
4,2.5,3340,8930,2,10,3340,0,1999,122008,52.765,-114.057,3160,720000
3,2.25,1810,9845,1,8,1810,0,1959,122057,52.7805,-114.411,1900,713400
4,2.5,2870,8995,1,8,1870,1000,1968,122027,52.7978,-114.318,2670,710000
4,3.5,3310,21050,2,9,2400,910,1992,122012,52.7497,-114.231,2260,695000
3,1.75,1920,4500,1,7,960,960,1924,122026,52.8945,-114.547,1190,675000
4,2.5,2390,5249,2,9,2390,0,2006,122019,52.8494,-114.216,2600,675000
3,2.5,1420,1438,2,9,1280,140,2003,122013,52.8565,-114.513,1490,670000
3,2,2320,10960,1,7,1510,810,1956,122049,52.8457,-114.364,2160,657500
4,2.5,2640,25038,2,8,2640,0,1995,122053,52.7577,-114.364,2630,657000
4,2.25,2170,4080,2,7,1920,250,1980,122044,52.8424,-114.483,1890,655000
4,2,1840,5419,1,7,920,920,1942,122032,52.8783,-114.594,1800,639000
4,2.75,2600,36583,1,8,1580,1020,1976,122020,52.823,-114.244,2300,610000
2,2.5,2410,102366,1,7,1940,470,1912,122036,52.7929,-114.108,2460,600000
5,3.5,3340,5000,2,8,2580,760,2012,122008,52.7468,-114.061,3420,592000
4,1,1140,5500,1,7,1140,0,1916,122028,52.9095,-114.544,1630,569950
2,2,1670,4996,1,8,1670,0,2004,122045,52.9441,-114.221,1670,554000
2,2,2930,14057,1,8,1680,1250,1980,122069,52.6325,-114.653,2234,545000
3,2.5,2060,7184,2,8,2060,0,1987,122011,52.797,-114.202,2230,545000
3,2,2800,185130,1,8,2320,480,1996,122024,52.6433,-114.196,2200,540500
5,3.25,2850,4551,2,8,2370,480,2006,122015,52.7216,-114.334,2850,535000
4,1.75,2280,5959,1,7,1250,1030,1947,122009,52.7955,-114.585,1640,525000
2,1.5,1340,3600,1.5,7,1340,0,1903,122003,52.8658,-114.554,1340,525000
2,1,1240,57000,1,7,1240,0,1962,122020,52.827,-114.249,3050,505000
3,1.75,1640,47044,1,7,1640,0,1989,122041,52.884,-114.13,2280,500000
4,1.75,1520,7700,1,7,1520,0,1967,122033,52.9656,-114.381,1520,499950
3,2,1880,9659,1,8,1180,700,1951,122014,52.9797,-114.474,1780,475000
5,2.5,2690,11745,1,8,1790,900,1960,122050,53.0008,-114.552,2670,469000
2,1,840,3840,1,7,840,0,1926,122007,52.914,-114.568,1310,445000
4,2,1560,7500,1,7,1560,0,1968,122033,52.9581,-114.371,1730,439000
4,2.5,2700,6515,2,9,2700,0,1998,122046,52.6656,-114.3,2900,426500
2,2.5,1500,3608,2,8,1500,0,2005,122011,52.7772,-114.184,2080,418000
4,1.75,2320,5490,1,8,1160,1160,1956,122063,52.7391,-114.431,2240,416100
3,1,1470,6500,1,7,1470,0,1953,122031,52.703,-114.552,1470,410000
4,2,2680,13680,2,7,2350,330,1943,122053,52.7187,-114.382,1430,400000
3,2,3110,44967,2,9,3020,90,1999,122046,52.6643,-114.272,2150,379900
4,1.5,1280,5460,1.5,7,1080,200,1920,122051,52.7648,-114.458,1470,379000
4,2.5,2380,10800,2,8,2380,0,2005,122024,52.5908,-114.226,2420,360000
3,2.5,2110,4038,2,8,2110,0,1989,122035,52.6175,-114.343,2110,355000
4,1,1170,8147,1.5,6,1170,0,1959,122022,52.9581,-114.479,1260,350000
4,2.5,2800,9538,2,8,2800,0,1993,122040,52.4975,-114.497,1970,350000
4,2,1720,7210,1,7,860,860,1971,122033,52.9607,-114.429,1250,350000
3,2.5,1500,2255,2,7,1500,0,2005,122011,52.7838,-114.187,1440,348000
3,1.75,3140,8571,1,8,1670,1470,1985,122018,52.5374,-114.527,2590,345000
2,1.5,1320,826,2,8,1100,220,2008,122054,52.8179,-114.494,1340,342500
3,2.25,1420,3433,2,7,1420,0,1981,122033,52.9545,-114.353,1150,336500
3,2.5,2340,6837,2,7,2340,0,1992,122065,52.5908,-114.384,1850,315000
3,1.5,1480,6752,1,7,1480,0,1959,122053,52.7293,-114.366,1450,307150
4,2.5,1714,3080,2,8,1714,0,2009,122042,52.659,-114.378,1714,307000
2,2,970,9750,1,6,970,0,1940,122052,52.7373,-114.562,1850,303000
2,1,740,4459,1,5,740,0,1915,122009,52.8004,-114.599,1490,295000
3,2.25,1720,7885,2,8,1720,0,1983,122018,52.5436,-114.534,2340,290256
2,1,670,6300,1,6,670,0,1942,122064,52.7461,-114.564,760,279000
4,2.5,1889,6000,2,7,1889,0,2012,122039,52.4976,-114.446,1990,277950
4,2.5,1830,3868,2,7,1830,0,2007,122051,52.7486,-114.466,2330,275000
3,2.5,1550,3402,2,7,1550,0,2009,122072,52.5823,-114.402,2095,273500
3,2.5,1530,6000,2,7,1530,0,1991,122024,52.5787,-114.226,1360,265000
3,1.75,1580,9187,1,8,1180,400,1993,122024,52.5838,-114.237,1620,263000
3,2.5,1490,8102,2,7,1490,0,1990,122035,52.6012,-114.282,1640,260000
3,2,1440,5457,2,7,1440,0,1986,122024,52.6084,-114.236,1480,250000
3,1,1010,8711,1,6,1010,0,1944,122053,52.7214,-114.376,1250,250000
2,1,960,21850,1,6,960,0,1947,122066,52.6422,-114.457,1020,242000
3,2.25,1630,7900,1,7,1130,500,1973,122018,52.5376,-114.567,1630,231500
4,2,2090,6630,1,7,1070,1020,1974,122063,52.7377,-114.458,1550,200000
2,1,860,10400,1,6,860,0,1983,122035,52.5982,-114.286,1390,195000
3,1,920,4875,1,7,920,0,1978,122035,52.5923,-114.28,1160,152000
3,1,1200,9527,1,7,1200,0,1959,122056,52.7412,-114.506,1510,150000
2,1,740,6250,1,6,740,0,1942,122052,52.736,-114.525,980,114975
4,4.75,4575,24085,2.5,10,3905,670,1926,122047,52.8563,-114.474,3900,2920000
8,2.75,4040,20666,1,9,2020,2020,1962,122048,52.864,-114.411,3670,1650000
4,3.5,4410,12426,2,12,3420,990,1996,122027,52.7818,-114.297,4090,1500000
3,3.25,3700,2264,2,11,2280,1420,1998,122010,52.8953,-114.395,3930,1480000
6,3.5,4860,11793,2,11,3860,1000,1998,122027,52.7821,-114.327,3600,1070000
5,4.5,4300,12250,2,10,4300,0,2004,122011,52.7857,-114.217,3950,975000
4,2.75,3520,5500,2,9,3520,0,2014,122019,52.8481,-114.246,3340,859990
3,2.5,3190,6899,2,9,3190,0,2014,122033,52.9453,-114.411,3190,814842
5,2.5,2900,5901,2,9,2900,0,2006,122012,52.7696,-114.188,3200,808900
4,2.25,3220,8436,2,8,3220,0,1968,122029,52.8681,-114.306,2500,800000
4,3.5,3560,6098,2,10,3560,0,2006,122020,52.8128,-114.162,3660,790000
4,2.5,3500,9198,2,9,3500,0,2004,122045,52.9085,-114.215,3990,790000
3,3.5,3190,6776,2,10,3190,0,1998,122019,52.8648,-114.254,3230,780000
3,1.75,2050,9870,1.5,9,2050,0,1959,122049,52.8268,-114.364,2530,745000
5,2.25,3320,60984,2,9,3320,0,2000,122025,52.7162,-113.908,1580,665000
3,1,1060,9123,1,7,1060,0,1952,122048,52.8518,-114.383,1620,641200
4,2.75,3040,7274,2,9,2320,720,1986,122022,52.9484,-114.47,2830,640000
4,3.25,3420,6752,2,9,3030,390,2012,122008,52.747,-114.066,3010,635000
3,1.5,1230,3060,1,7,910,320,1927,122028,52.897,-114.523,1260,625000
4,3,2530,4166,1,8,1470,1060,1976,122033,52.9394,-114.423,1840,625000
4,2.25,2210,10039,1,8,1710,500,1967,122005,52.864,-114.291,2070,620000
4,2.5,2090,6906,2,8,2090,0,1992,122011,52.8018,-114.186,2090,601000
5,2.5,2780,12335,1,8,1590,1190,1968,122027,52.7981,-114.318,2750,582000
7,2.75,2310,2400,1.5,6,2310,0,1915,122007,52.9075,-114.58,1340,580000
3,2.25,1790,9580,2,8,1790,0,1984,122027,52.7841,-114.352,2060,578000
4,1.75,2440,8100,1,9,1620,820,1960,122050,52.9501,-114.551,2030,575000
4,2,1790,7800,1,8,1790,0,1972,122029,52.8566,-114.293,2150,570000
4,1.75,2140,7102,1,7,1070,1070,1948,122050,52.9342,-114.56,1950,565000
5,1.5,2240,6337,1,8,1280,960,1956,122022,52.9346,-114.506,1870,534950
4,2.25,2130,8640,1,7,1430,700,1969,122033,52.9387,-114.388,2120,530000
3,1.5,1560,9350,1,7,1220,340,1969,122005,52.9029,-114.338,1870,525000
5,3,2360,5000,1,7,1390,970,2008,122028,52.9231,-114.52,2180,504600
3,1.5,1320,8100,1,7,1320,0,1951,122050,52.9494,-114.561,1480,500000
4,2.5,2090,4196,2,8,2090,0,2006,122017,52.9753,-114.382,2640,489900
